"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"446","Charle-Edouard D'Astous","T.B","D","66","63.933333333333","0.96868686868687","0","1.88","0","1.88","1.88","100.00","5.63","0.00","0.36","9.38","5.63","3.75","0","0","0.94","0","0","0","0","0","0","2.82","0","3.75","1.88","0","0","0","-"
"532","Matt Boldy","MIN","L","74","288.85","3.9033783783784","2.28","3.53","1.66","1.87","5.82","65.12","12.88","17.74","1.85","27.83","21.4","13.09","4.15","0","1.87","1.66","0.83","0.83","0","0","0.42","2.91","0.62","0","2.28","0","4.15","5.82","8.66"
"210","Bo Horvat","NYI","C","64","226.16666666667","3.5338541666667","1.86","2.39","0.53","1.86","4.24","66.67","14.06","13.21","2.13","25.2","19.37","18.84","3.71","0","1.06","0.53","0.27","0.27","0","0","0","2.39","0","0","0.8","0","37.94","21.49","16.94"
"327","Adam Gaudette","S.J","R","62","65.15","1.0508064516129","2.76","2.76","0.92","1.84","5.53","85.71","10.13","27.27","1.37","16.58","11.97","11.97","3.68","0","2.76","0","0","0","0","0","0","1.84","0","0.92","3.68","0","16.58","11.97","53.47"
"294","Mathew Barzal","NYI","C","77","262.81666666667","3.4132034632035","0.46","3.88","2.05","1.83","4.34","63.33","7.08","6.45","1.05","12.56","10.27","6.16","3.2","0","1.6","0.91","0.46","0.46","0","0","0.68","2.74","0.68","0","1.6","0","2.51","5.48","7.18"
"725","Matt Savoie","EDM","C","78","65.45","0.83910256410256","3.67","1.83","0","1.83","5.5","66.67","11","33.33","3.23","16.5","13.75","13.75","8.25","0","0.92","0","0","0","0","0","0","0.92","0.92","0","0.92","0","3.67","1.83","61.12"
"179","Jonny Brodzinski","NYR","C","53","33.066666666667","0.62389937106918","0","3.63","1.81","1.81","3.63","100.00","9.07","0.00","1.26","16.33","10.89","9.07","1.81","0","1.81","0","0","0","0","0","1.81","1.81","1.81","1.81","3.63","0","7.26","5.44","103.69"
"359","Logan Stanley","BUF, WPG","D","73","33.116666666667","0.45365296803653","0","1.81","0","1.81","1.81","100.00","10.87","0.00","0.73","19.93","14.49","3.62","0","0","1.81","0","0","0","0","0","0","3.62","0","0","0","0","0","0","-"
"524","Trevor Zegras","PHI","C","78","233.4","2.9923076923077","2.31","3.08","1.29","1.8","5.4","75.00","11.57","20.00","1.84","23.65","17.74","13.37","3.86","0","2.06","4.11","1.03","0.77","0","0.26","0.51","1.29","0","1.03","3.08","0","4.63","10.03","8.12"
"235","Dylan Larkin","DET","C","71","234.25","3.2992957746479","3.33","2.31","0.51","1.79","5.64","57.89","15.62","21.31","3.62","30.22","24.59","23.56","14.09","0","5.64","2.05","1.02","1.02","0","0","0.26","1.28","0.26","0","1.28","0","38.93","26.64","15.21"
"367","Jesper Bratt","N.J","L","78","234.11666666667","3.0014957264957","1.28","3.84","2.05","1.79","5.13","60.61","5.64","22.73","0.95","11.79","8.71","7.69","3.08","0","1.28","0","0","0","0","0","0","2.31","0","0.77","0.51","0.26","0","0","-"
"349","Sam Steel","DAL","C","72","33.616666666667","0.46689814814815","1.78","3.57","1.78","1.78","5.35","50.00","1.78","100.00","0.31","8.92","3.57","8.92","0","0","0","0","0","0","0","0","0","7.14","0","0","3.57","0","8.92","3.57","127.49"
"783","Uvis Balinskis","FLA","D","54","67.466666666667","1.2493827160494","2.67","2.67","0.89","1.78","5.34","75.00","11.56","23.08","0.7","19.57","11.56","7.11","0","0","3.56","0","0","0","0","0","0.89","2.67","5.34","0.89","1.78","0.89","0","0","-"
"661","Logan Mailloux","STL","D","62","33.816666666667","0.54543010752688","0","1.77","0","1.77","1.77","100.00","0","-","0.04","5.32","1.77","0","0","0","0","0","0","0","0","0","0","1.77","1.77","0","1.77","0","0","0","-"
"652","Dylan Guenther","UTA","R","75","238.21666666667","3.1762222222222","2.01","3.53","1.76","1.76","5.54","62.86","13.1","15.38","1.89","29.97","23.42","11.59","1.76","0","1.26","0","0","0","0","0","0","0.76","0","0.25","1.01","0","0.76","1.51","8.40"
"333","Mason Marchment","CBJ, SEA","L","64","137.4","2.146875","1.31","1.75","0","1.75","3.06","50.00","6.55","20.00","0.89","13.97","9.17","9.17","3.06","0","1.75","3.49","1.75","1.75","0","0","0","3.49","0.44","0.87","1.75","0","2.18","3.49","16.80"
"31","Jordan Eberle","SEA","R","75","207.03333333333","2.7604444444444","1.16","3.48","1.74","1.74","4.64","61.54","11.59","10.00","2.89","17.97","16.81","15.94","11.88","0","1.45","1.16","0.58","0.58","0","0","0.58","1.45","0.29","0.58","1.16","0.29","0.29","0","28.98"
"259","Viktor Arvidsson","BOS","L","67","138.15","2.0619402985075","1.74","2.17","0.43","1.74","3.91","52.94","11.29","15.38","2.24","20.85","16.07","17.37","10.86","0","3.04","2.61","1.3","1.3","0","0","0.43","2.17","0.43","0","4.34","0","1.74","0.87","28.95"
"406","Nico Hischier","N.J","C","78","241.95","3.1019230769231","2.48","2.98","1.24","1.74","5.46","61.11","16.37","15.15","3.01","25.54","21.08","21.82","11.41","0","3.97","0.99","0.5","0.5","0","0","0","1.49","0.99","0.25","1.74","0.25","38.19","22.57","15.59"
"678","Jackson Blake","CAR","R","78","173.48333333333","2.2241452991453","1.04","2.77","1.04","1.73","3.8","57.89","10.72","9.68","1.94","20.75","16.26","16.95","7.26","0","2.42","0.69","0.35","0.35","0","0","1.38","3.11","1.04","0","3.11","0","0","0","-"
"189","Andrew Copp","DET","C","75","104.81666666667","1.3975555555556","0.57","4.01","2.29","1.72","4.58","61.54","6.87","8.33","2.13","17.75","14.88","14.88","8.59","0","1.72","0","0","0","0","0","0.57","4.01","0","0.57","0.57","0.57","17.17","17.17","28.62"
"370","Tage Thompson","BUF","C","79","279.21666666667","3.534388185654","1.29","3.87","2.15","1.72","5.16","61.54","14.18","9.09","2.02","30.73","22.35","12.89","4.08","0","0.43","1.29","0.43","0.43","0","0","0.64","2.15","1.07","0","0.64","0","10.31","10.74","10.53"
"555","Alex Newhook","MTL","C","38","34.866666666667","0.91754385964912","3.44","1.72","0","1.72","5.16","75.00","15.49","22.22","1.85","24.09","17.21","13.77","1.72","0","1.72","0","0","0","0","0","0","1.72","0","0","0","1.72","5.16","15.49","43.02"
"750","Braeden Bowman","VGK","R","54","70.016666666667","1.2966049382716","1.71","1.71","0","1.71","3.43","57.14","11.14","15.38","3.13","16.28","15.42","14.57","13.71","0","5.14","1.71","0.86","0.86","0","0","0","0.86","0.86","0","1.71","0","0","0","-"
"777","Will Smith","S.J","C","63","213.63333333333","3.3910052910053","2.25","2.25","0.56","1.69","4.49","55.17","14.04","16.00","1.96","22.19","17.69","14.04","3.93","0.28","1.69","2.25","1.12","1.12","0","0","0","1.4","0","0","1.4","0.28","0","1.12","0.00"
"660","Brandt Clarke","L.A","D","77","178.65","2.3201298701299","0.67","3.69","2.02","1.68","4.37","61.90","10.41","6.45","0.95","17.8","12.43","6.38","2.35","0","2.35","0","0","0","0","0","0.34","1.68","0.67","0.67","1.01","2.02","0","0","-"
"47","Nazem Kadri","CGY, COL","C","77","250.78333333333","3.2569264069264","1.2","3.35","1.67","1.67","4.55","59.38","11.48","10.42","2.14","25.84","19.14","14.12","5.5","0","1.44","1.44","0.72","0.72","0","0","0.24","2.39","0.24","0.96","1.67","0.24","9.09","9.33","11.81"
"116","Mika Zibanejad","NYR","C","78","252.16666666667","3.232905982906","3.57","4.52","2.86","1.67","8.09","77.27","12.13","29.41","2.32","26.17","22.13","12.37","5.23","0","2.62","0","0","0","0","0","0","2.62","0.71","0","0.71","0.48","3.33","4.76","9.80"
"408","Eeli Tolvanen","SEA","R","74","143.96666666667","1.9454954954955","2.08","3.75","2.08","1.67","5.83","73.68","12.92","16.13","1.84","25.42","19.59","12.92","3.75","0","2.08","1.67","0.83","0.83","0","0","0","2.08","0.42","0","2.92","0","0","0.42","0.00"
"449","Pius Suter","STL","C","60","72.15","1.2025","0.83","2.49","0.83","1.66","3.33","57.14","4.16","20.00","1.68","10.81","9.98","9.15","8.32","0","0.83","3.33","1.66","1.66","0","0","0","0.83","0","1.66","2.49","0","4.16","6.65","31.98"
"559","Aliaksei Protas","WSH","C, L","72","36.2","0.50277777777778","0","1.66","0","1.66","1.66","50.00","6.63","0.00","0.36","6.63","6.63","0","0","0","0","0","0","0","0","0","0","0","0","0","1.66","0","0","1.66","0.00"
"73","Justin Faulk","DET, STL","D","74","145.01666666667","1.9596846846847","0.83","2.9","1.24","1.65","3.72","64.29","10.34","8.00","0.95","19.03","13.65","7.03","0.41","0","1.24","2.48","1.24","1.24","0","0","0","1.24","0.83","0","0.41","0.83","0","0","-"
"113","Jonathan Huberdeau","CGY","L","50","145.66666666667","2.9133333333333","1.24","1.65","0","1.65","2.88","46.67","8.24","15.00","1.44","14.42","13.18","10.3","5.77","0","2.47","0","0","0","0","0","0","3.3","0","0.41","0.82","0","0","0.41","0.00"
